vol_acidity,tot_sulf_d,density,sulph,alcohol,class
0.961576,-0.379014,0.5581,-0.579025,-0.959946,Low
1.966827,0.624168,0.028252,0.12891,-0.584594,Low
1.29666,0.228975,0.134222,-0.048074,-0.584594,Low
-1.384011,0.411372,0.664069,-0.461036,-0.584594,High
0.961576,-0.379014,0.5581,-0.579025,-0.959946,Low
0.738187,-0.196617,0.5581,-0.579025,-0.959946,Low
0.403103,0.380972,-0.183687,-1.168972,-0.959946,Low
0.682339,-0.774207,-1.137414,-1.109977,-0.396918,High
0.291408,-0.865405,0.028252,-0.520031,-0.866108,High
0.291408,0.563369,-0.448611,-0.697015,-1.147622,Low
0.486874,0.380972,-1.296368,-0.815004,-0.490756,Low
-1.384011,1.718548,0.081237,0.541872,0.072271,High
0.347256,-0.531011,0.346161,-0.932993,-1.335297,Low
-1.719094,0.411372,0.028252,-0.756009,-0.959946,High
-0.76969,0.745766,0.770039,-0.048074,-0.678432,Low
-0.546301,-0.287816,-0.077718,1.485786,-0.866108,Low
-0.211217,0.624168,0.028252,-0.756009,-0.959946,Low
-0.713843,-0.196617,0.028252,-0.166063,-0.678432,High
-0.76969,-0.713408,-0.66055,-0.579025,-1.053784,Low
-0.657996,-1.078202,-0.289657,-0.402042,-0.866108,Low
-0.546301,-0.287816,-0.077718,1.485786,-0.866108,Low
1.017423,-0.348615,0.240191,-0.63802,-0.959946,Low
0.654416,-0.926204,-0.183687,-0.402042,-0.584594,High
0.821958,1.08016,-0.501596,-0.697015,-0.303081,Low
0.877805,-0.287816,-0.077718,-0.520031,0.166109,High
0.710263,2.022543,-0.077718,0.010921,-0.584594,Low
-1.160621,0.107377,-0.554581,-0.63802,-1.147622,Low
0.403103,-0.956604,0.399145,-0.343047,0.353785,High
-0.825538,-0.500612,0.028252,0.423883,-0.678432,High
0.45895,-0.014221,0.45213,-0.873998,-1.053784,Low
0.738187,-0.713408,0.028252,3.19663,-0.115405,Low
0.794034,-1.078202,-0.289657,-0.815004,-0.866108,Low
-0.043675,0.563369,-1.773231,-0.579025,2.512056,Low
2.273987,2.052942,0.134222,0.423883,-1.147622,Low
-1.328163,-0.287816,0.081237,-0.461036,-0.866108,Low
-0.713843,-1.047802,-0.501596,-0.579025,-1.147622,Low
-1.216469,1.505752,-0.713535,-0.461036,-1.147622,Low
